17:14:28.692751 config: drop-rate=0.20, max-delay=10ms, seed=1
17:28:03.048637 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:61114, sz=0 is dropped
17:28:06.048929 [queue=1] packet #2, 127.0.0.1:61114 -> 127.0.0.1:8080, sz=32 is delayed for 500µs
17:28:06.064417 [queue=0] packet #2, 127.0.0.1:61114 -> 127.0.0.1:8080, sz=32 is delivered
17:28:06.064925 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:61114, sz=0 is delayed for 3.8ms
17:28:06.080517 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:61114, sz=0 is delivered
17:28:06.081084 [queue=1] packet #3, 127.0.0.1:61114 -> 127.0.0.1:8080, sz=8 is delayed for 5.5ms
17:28:06.096214 [queue=0] packet #3, 127.0.0.1:61114 -> 127.0.0.1:8080, sz=8 is delivered
17:28:06.096214 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:61114, sz=5 is delayed for 1ms
17:28:06.111930 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:61114, sz=5 is delivered
17:28:06.111930 [queue=1] packet #4, 127.0.0.1:61114 -> 127.0.0.1:8080, sz=2 is delayed for 5.6ms
17:28:06.127654 [queue=0] packet #4, 127.0.0.1:61114 -> 127.0.0.1:8080, sz=2 is delivered
17:32:19.469505 [queue=0] packet #1, 127.0.0.1:63927 -> 127.0.0.1:8080, sz=14 is dropped
17:32:22.782352 [queue=1] packet #1, 127.0.0.1:63927 -> 127.0.0.1:8080, sz=14 is delayed for 6.1ms
17:32:22.798306 [queue=0] packet #1, 127.0.0.1:63927 -> 127.0.0.1:8080, sz=14 is delivered
17:32:22.799385 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:63927, sz=14 is delayed for 8.3ms
17:32:22.830207 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:63927, sz=14 is delivered
17:32:22.830716 [queue=1] packet #2, 127.0.0.1:63928 -> 127.0.0.1:8080, sz=32 is delayed for 6.3ms
17:32:22.846326 [queue=0] packet #2, 127.0.0.1:63928 -> 127.0.0.1:8080, sz=32 is delivered
17:32:22.861982 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:63928, sz=430 is delayed for 200µs
17:32:22.877417 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:63928, sz=430 is delivered
17:32:22.877922 [queue=1] packet #3, 127.0.0.1:63928 -> 127.0.0.1:8080, sz=8 is delayed for 4.7ms
17:32:22.893459 [queue=0] packet #3, 127.0.0.1:63928 -> 127.0.0.1:8080, sz=8 is delivered
17:32:22.893459 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:63928, sz=5 is delayed for 7.7ms
17:32:22.909290 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:63928, sz=5 is delivered
17:32:22.909290 [queue=1] packet #4, 127.0.0.1:63928 -> 127.0.0.1:8080, sz=2 is delayed for 9.6ms
17:32:22.924999 [queue=0] packet #4, 127.0.0.1:63928 -> 127.0.0.1:8080, sz=2 is delivered
17:38:29.255991 [queue=1] packet #1, 127.0.0.1:59117 -> 127.0.0.1:8080, sz=4 is delayed for 2.3ms
17:38:29.271805 [queue=0] packet #1, 127.0.0.1:59117 -> 127.0.0.1:8080, sz=4 is delivered
17:38:29.272311 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:59117, sz=2 is delayed for 3.7ms
17:38:29.287615 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:59117, sz=2 is delivered
17:38:29.584832 [queue=1] packet #2, 127.0.0.1:59118 -> 127.0.0.1:8080, sz=32 is delayed for 4.1ms
17:38:29.600745 [queue=0] packet #2, 127.0.0.1:59118 -> 127.0.0.1:8080, sz=32 is delivered
17:38:29.601251 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59118, sz=0 is delayed for 3.3ms
17:38:29.632397 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59118, sz=0 is delivered
17:38:29.632907 [queue=1] packet #3, 127.0.0.1:59118 -> 127.0.0.1:8080, sz=8 is delayed for 9.1ms
17:38:29.648562 [queue=0] packet #3, 127.0.0.1:59118 -> 127.0.0.1:8080, sz=8 is delivered
17:38:29.649068 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:59118, sz=5 is delayed for 7.8ms
17:38:29.664458 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:59118, sz=5 is delivered
17:38:29.664968 [queue=1] packet #4, 127.0.0.1:59118 -> 127.0.0.1:8080, sz=2 is delayed for 4.6ms
17:38:29.680319 [queue=0] packet #4, 127.0.0.1:59118 -> 127.0.0.1:8080, sz=2 is delivered
17:39:10.118925 [queue=1] packet #1, 127.0.0.1:59119 -> 127.0.0.1:8080, sz=4 is delayed for 4ms
17:39:10.135200 [queue=0] packet #1, 127.0.0.1:59119 -> 127.0.0.1:8080, sz=4 is delivered
17:39:10.135705 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:59119, sz=2 is delayed for 5.2ms
17:39:10.151101 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:59119, sz=2 is delivered
17:39:10.151608 [queue=0] packet #2, 127.0.0.1:59120 -> 127.0.0.1:8080, sz=32 is dropped
17:39:13.165867 [queue=1] packet #2, 127.0.0.1:59120 -> 127.0.0.1:8080, sz=32 is delayed for 9.8ms
17:39:13.182103 [queue=0] packet #2, 127.0.0.1:59120 -> 127.0.0.1:8080, sz=32 is delivered
17:39:13.182610 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59120, sz=0 is delayed for 5.1ms
17:39:13.198300 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:59120, sz=0 is delivered
17:39:13.198807 [queue=1] packet #3, 127.0.0.1:59120 -> 127.0.0.1:8080, sz=8 is delayed for 5.7ms
17:39:13.214218 [queue=0] packet #3, 127.0.0.1:59120 -> 127.0.0.1:8080, sz=8 is delivered
17:39:13.214739 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:59120, sz=5 is delayed for 1ms
17:39:13.230109 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:59120, sz=5 is delivered
17:39:13.230718 [queue=0] packet #4, 127.0.0.1:59120 -> 127.0.0.1:8080, sz=2 is dropped
17:41:37.069201 [queue=1] packet #1, 127.0.0.1:51383 -> 127.0.0.1:8080, sz=4 is delayed for 9ms
17:41:37.085448 [queue=0] packet #1, 127.0.0.1:51383 -> 127.0.0.1:8080, sz=4 is delivered
17:41:37.085953 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51383, sz=2 is delayed for 9.8ms
17:41:37.101083 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51383, sz=2 is delivered
17:41:37.398400 [queue=1] packet #2, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=32 is delayed for 9.1ms
17:41:37.429975 [queue=0] packet #2, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=32 is delivered
17:41:37.430481 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:51384, sz=0 is dropped
17:41:40.413127 [queue=0] packet #2, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=32 is dropped
17:41:43.415501 [queue=1] packet #2, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=32 is delayed for 6.7ms
17:41:43.431833 [queue=0] packet #2, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=32 is delivered
17:41:43.432886 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:51384, sz=0 is delayed for 7.1ms
17:41:43.447782 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:51384, sz=0 is delivered
17:41:43.448290 [queue=1] packet #3, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=8 is delayed for 2.6ms
17:41:43.463805 [queue=0] packet #3, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=8 is delivered
17:41:43.464311 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:51384, sz=5 is delayed for 8.1ms
17:41:43.479947 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:51384, sz=5 is delivered
17:41:43.480453 [queue=1] packet #4, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=2 is delayed for 6.6ms
17:41:43.495849 [queue=0] packet #4, 127.0.0.1:51384 -> 127.0.0.1:8080, sz=2 is delivered
17:49:32.262971 [queue=1] packet #1, 127.0.0.1:53130 -> 127.0.0.1:8080, sz=4 is delayed for 9.3ms
17:49:32.294982 [queue=0] packet #1, 127.0.0.1:53130 -> 127.0.0.1:8080, sz=4 is delivered
17:49:32.296062 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:53130, sz=2 is dropped
17:49:35.280125 [queue=1] packet #1, 127.0.0.1:53130 -> 127.0.0.1:8080, sz=4 is delayed for 8.1ms
17:49:35.296691 [queue=0] packet #1, 127.0.0.1:53130 -> 127.0.0.1:8080, sz=4 is delivered
17:49:35.296773 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:53130, sz=2 is delayed for 7.5ms
17:49:35.312257 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:53130, sz=2 is delivered
17:49:35.312766 [queue=1] packet #2, 127.0.0.1:50343 -> 127.0.0.1:8080, sz=32 is delayed for 1ms
17:49:35.328189 [queue=0] packet #2, 127.0.0.1:50343 -> 127.0.0.1:8080, sz=32 is delivered
17:49:35.328699 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:50343, sz=0 is delayed for 4.9ms
17:49:35.344524 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:50343, sz=0 is delivered
17:49:35.345120 [queue=1] packet #3, 127.0.0.1:50343 -> 127.0.0.1:8080, sz=8 is delayed for 1.8ms
17:49:35.360413 [queue=0] packet #3, 127.0.0.1:50343 -> 127.0.0.1:8080, sz=8 is delivered
17:49:35.360920 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:50343, sz=5 is delayed for 300µs
17:49:35.375554 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:50343, sz=5 is delivered
